batch_size,num_hist,frameskip,T,num_episodes,num_workers,slices,train_samples,steps,training_ok,rollout_ok,vram_train_mib,vram_train_pct,vram_val_peak_mib,vram_val_peak_pct,val_overhead_pct,vram_ok,score,attention_seq_len,attention_mib
4,1,1,22,500,2,21,9450,2363,True,True,4870.4,19.8,5547.1,22.6,13.9,True,1000.04,196,154.9
4,1,1,22,1000,2,21,18900,4725,True,True,4870.4,19.8,5547.1,22.6,13.9,True,1000.02,196,154.9
8,1,1,22,500,2,21,9450,1182,True,True,7182.0,29.2,8152.9,33.2,13.5,True,1000.08,196,309.9
8,1,1,22,1000,2,21,18900,2363,True,True,7182.0,29.2,8152.9,33.2,13.5,True,1000.04,196,309.9
16,1,1,22,500,2,21,9450,591,True,True,11805.2,48.1,13364.3,54.4,13.2,True,1000.17,196,619.7
16,1,1,22,1000,2,21,18900,1182,True,True,11805.2,48.1,13364.3,54.4,13.2,True,1000.08,196,619.7
32,1,1,22,500,2,21,9450,296,True,True,21051.6,85.7,23787.2,96.8,13.0,True,1000.34,196,1239.5
32,1,1,22,1000,2,21,18900,591,True,True,21051.6,85.7,23787.2,96.8,13.0,True,1000.17,196,1239.5
4,1,2,22,500,2,19,8550,2138,True,True,4870.4,19.8,5529.3,22.5,13.5,True,1000.05,196,154.9
4,1,2,22,1000,2,19,17100,4275,True,True,4870.4,19.8,5529.3,22.5,13.5,True,1000.02,196,154.9
8,1,2,22,500,2,19,8550,1069,True,True,7182.0,29.2,8135.0,33.1,13.3,True,1000.09,196,309.9
8,1,2,22,1000,2,19,17100,2138,True,True,7182.0,29.2,8135.0,33.1,13.3,True,1000.05,196,309.9
16,1,2,22,500,2,19,8550,535,True,True,11805.2,48.1,13346.4,54.3,13.1,True,1000.19,196,619.7
16,1,2,22,1000,2,19,17100,1069,True,True,11805.2,48.1,13346.4,54.3,13.1,True,1000.09,196,619.7
32,1,2,22,500,2,19,8550,268,True,True,21051.6,85.7,23769.3,96.8,12.9,True,1000.37,196,1239.5
32,1,2,22,1000,2,19,17100,535,True,True,21051.6,85.7,23769.3,96.8,12.9,True,1000.19,196,1239.5
4,1,3,22,500,2,17,7650,1913,True,True,4870.4,19.8,5524.4,22.5,13.4,True,1000.05,196,154.9
4,1,3,22,1000,2,17,15300,3825,True,True,4870.4,19.8,5524.4,22.5,13.4,True,1000.03,196,154.9
8,1,3,22,500,2,17,7650,957,True,True,7182.0,29.2,8130.1,33.1,13.2,True,1000.1,196,309.9
8,1,3,22,1000,2,17,15300,1913,True,True,7182.0,29.2,8130.1,33.1,13.2,True,1000.05,196,309.9
16,1,3,22,500,2,17,7650,479,True,True,11805.2,48.1,13341.5,54.3,13.0,True,1000.21,196,619.7
16,1,3,22,1000,2,17,15300,957,True,True,11805.2,48.1,13341.5,54.3,13.0,True,1000.1,196,619.7
32,1,3,22,500,2,17,7650,240,True,True,21051.6,85.7,23764.4,96.7,12.9,True,1000.42,196,1239.5
32,1,3,22,1000,2,17,15300,479,True,True,21051.6,85.7,23764.4,96.7,12.9,True,1000.21,196,1239.5
4,1,4,22,500,2,15,6750,1688,True,True,4870.4,19.8,5521.1,22.5,13.4,True,1000.06,196,154.9
4,1,4,22,1000,2,15,13500,3375,True,True,4870.4,19.8,5521.1,22.5,13.4,True,1000.03,196,154.9
8,1,4,22,500,2,15,6750,844,True,True,7182.0,29.2,8126.9,33.1,13.2,True,1000.12,196,309.9
8,1,4,22,1000,2,15,13500,1688,True,True,7182.0,29.2,8126.9,33.1,13.2,True,1000.06,196,309.9
16,1,4,22,500,2,15,6750,422,True,True,11805.2,48.1,13338.3,54.3,13.0,True,1000.24,196,619.7
16,1,4,22,1000,2,15,13500,844,True,True,11805.2,48.1,13338.3,54.3,13.0,True,1000.12,196,619.7
32,1,4,22,500,2,15,6750,211,True,True,21051.6,85.7,23761.2,96.7,12.9,True,1000.47,196,1239.5
32,1,4,22,1000,2,15,13500,422,True,True,21051.6,85.7,23761.2,96.7,12.9,True,1000.24,196,1239.5
4,1,5,22,500,2,13,5850,1463,True,True,4870.4,19.8,5519.5,22.5,13.3,True,1000.07,196,154.9
4,1,5,22,1000,2,13,11700,2925,True,True,4870.4,19.8,5519.5,22.5,13.3,True,1000.03,196,154.9
8,1,5,22,500,2,13,5850,732,True,True,7182.0,29.2,8125.2,33.1,13.1,True,1000.14,196,309.9
8,1,5,22,1000,2,13,11700,1463,True,True,7182.0,29.2,8125.2,33.1,13.1,True,1000.07,196,309.9
16,1,5,22,500,2,13,5850,366,True,True,11805.2,48.1,13336.7,54.3,13.0,True,1000.27,196,619.7
16,1,5,22,1000,2,13,11700,732,True,True,11805.2,48.1,13336.7,54.3,13.0,True,1000.14,196,619.7
32,1,5,22,500,2,13,5850,183,True,True,21051.6,85.7,23759.5,96.7,12.9,True,1000.55,196,1239.5
